aircraft,airline,departure,arrival,destination,flight,origin,scheduled.arrival,scheduled.departure,type
OH-LVD,Finnair (Oneworld Livery),172.3425,182.210833333333,Helsinki Vantaa Airport,AY704,Dusseldorf International Airport,1486991400,1486982700,A319
OH-LVD,Finnair (Oneworld Livery),175.926111111111,177.860833333333,Dusseldorf International Airport,AY703,Helsinki Vantaa Airport,1486973100,1486964400,A319
OH-LVD,Finnair (Oneworld Livery),181.053611111111,183.5275,Helsinki Vantaa Airport,AY768,Vienna International Airport,1486932300,1486923300,A319
OH-LVD,Finnair (Oneworld Livery),185.268333333333,194.244166666667,Vienna International Airport,AY767,Helsinki Vantaa Airport,1486920600,1486911600,A319
OH-LVD,Finnair (Oneworld Livery),185.374444444444,187.260833333333,Helsinki Vantaa Airport,AY754,Budapest Ferenc Liszt International Airport,1486904100,1486895700,A319
OH-LVD,Finnair (Oneworld Livery),188.3425,190.5775,Helsinki Vantaa Airport,AY656,Oslo Gardermoen Airport,1487684400,1487679300,A319
OH-LVD,Finnair (Oneworld Livery),196.544722222222,207.310833333333,Oslo Gardermoen Airport,AY651,Helsinki Vantaa Airport,1487661000,1487655300,A319
OH-LVD,Finnair (Oneworld Livery),200.083333333333,202.560833333333,Helsinki Vantaa Airport,AY768,Vienna International Airport,1487623500,1487614500,A319
OH-LVD,Finnair (Oneworld Livery),204.006111111111,206.360833333333,Vienna International Airport,AY767,Helsinki Vantaa Airport,1487611800,1487602800,A319
OH-LVD,Finnair (Oneworld Livery),208.262222222222,209.149444444445,Helsinki Vantaa Airport,AY642,Stockholm Arlanda Airport,1487599800,1487596200,A319
OH-LVD,Finnair (Oneworld Livery),209.858611111111,218.110833333333,Stockholm Arlanda Airport,AY641,Helsinki Vantaa Airport,1487593500,1487590200,A319
OH-LVD,Finnair (Oneworld Livery),209.871111111111,210.644166666667,Helsinki Vantaa Airport,AY3126,London Heathrow Airport,1487586000,1487575800,A319
OH-LVD,Finnair (Oneworld Livery),211.723333333333,214.144166666667,London Heathrow Airport,AY3125,Helsinki Vantaa Airport,1487536800,1487525400,A319
OH-LVD,Finnair (Oneworld Livery),220.451111111111,230.144166666667,Helsinki Vantaa Airport,AY368,Oulu Airport,1487522100,1487518500,A319
OH-LVD,Finnair (Oneworld Livery),225.663611111111,228.094166666667,Oulu Airport,AY367,Helsinki Vantaa Airport,1487516700,1487512800,A319
OH-LVD,Finnair (Oneworld Livery),229.657222222222,230.394166666667,Helsinki Vantaa Airport,AY858,Zurich Airport,1487508300,1487498100,A319
OH-LVD,Finnair (Oneworld Livery),231.166111111111,231.810833333333,Zurich Airport,AY857,Helsinki Vantaa Airport,1487493900,1487483700,A319
OH-LVD,Finnair (Oneworld Livery),233.437222222222,235.394166666667,Stockholm Arlanda Airport,AY645,Helsinki Vantaa Airport,1487694600,1487691000,A319
OH-LWB,Finnair (Oneworld Livery),234.047222222222,242.244166666667,Helsinki Vantaa Airport,AY58,Shanghai Pudong International Airport,1487679600,1487642700,A359
OH-LWB,Finnair (Oneworld Livery),236.375,238.5275,Shanghai Pudong International Airport,AY57,Helsinki Vantaa Airport,1487636100,1487604600,A359
OH-LWB,Finnair (Oneworld Livery),244.522222222222,253.860833333333,Helsinki Vantaa Airport,AY58,Shanghai Pudong International Airport,1487593200,1487556300,A359
OH-LWB,Finnair (Oneworld Livery),247.896666666667,249.160833333333,Shanghai Pudong International Airport,AY57,Helsinki Vantaa Airport,1487549700,1487518200,A359
OH-LWB,Finnair (Oneworld Livery),254.496388888889,255.6775,Helsinki Vantaa Airport,AY90,Bangkok Suvarnabhumi Airport,1487508900,1487469900,A359
OH-LWB,Finnair (Oneworld Livery),257.573611111111,266.494166666667,Bangkok Suvarnabhumi Airport,AY89,Helsinki Vantaa Airport,1487463900,1487430300,A359
OH-LVD,Finnair (Oneworld Livery),257.617777777778,258.344166666667,Helsinki Vantaa Airport,AY822,Frankfurt Airport,1487769000,1487759700,A319
OH-LVD,Finnair (Oneworld Livery),259.254166666667,259.894166666667,Frankfurt Airport,AY821,Helsinki Vantaa Airport,1487751600,1487742000,A319
OH-LVD,Finnair (Oneworld Livery),268.575555555556,279.410833333333,Helsinki Vantaa Airport,AY646,Stockholm Arlanda Airport,1487700300,1487697000,A319
OH-LWB,Finnair (Oneworld Livery),271.887222222222,274.1775,Helsinki Vantaa Airport,AY90,Bangkok Suvarnabhumi Airport,1487768100,1487729100,A359
OH-LWB,Finnair (Oneworld Livery),276.863611111111,279.010833333333,Bangkok Suvarnabhumi Airport,AY89,Helsinki Vantaa Airport,1487723100,1487689500,A359
OH-LVD,Finnair (Oneworld Livery),281.168333333333,283.460833333334,Helsinki Vantaa Airport,AY708,Dusseldorf International Airport,1487793900,1487785500,A319
OH-LVD,Finnair (Oneworld Livery),285.301111111111,287.5275,Dusseldorf International Airport,AY707,Helsinki Vantaa Airport,1487782500,1487773800,A319
OH-LWB,Finnair (Oneworld Livery),288.555555555556,297.994166666667,Hong Kong International Airport,AY69,Helsinki Vantaa Airport,1487835000,1487799900,A359
OH-LVD,Finnair (Oneworld Livery),295.86,298.434722222222,Helsinki Vantaa Airport,AY658,Oslo Gardermoen Airport,1487969100,1487964000,A319
OH-LVD,Finnair (Oneworld Livery),300.746944444445,302.860833333334,Oslo Gardermoen Airport,AY657,Helsinki Vantaa Airport,1487961900,1487956500,A319
OH-LVD,Finnair (Oneworld Livery),305.389444444445,307.4775,Helsinki Vantaa Airport,AY368,Oulu Airport,1487954100,1487950500,A319
OH-LVD,Finnair (Oneworld Livery),308.536944444445,310.4775,Oulu Airport,AY367,Helsinki Vantaa Airport,1487948700,1487944800,A319
OH-LVD,Finnair (Oneworld Livery),319.938888888889,322.0275,Helsinki Vantaa Airport,AY704,Dusseldorf International Airport,1487941800,1487933100,A319
OH-LVD,Finnair (Oneworld Livery),325.004444444445,327.1275,Dusseldorf International Airport,AY703,Helsinki Vantaa Airport,1487923500,1487914800,A319
OH-LVD,Finnair (Oneworld Livery),328.402222222222,329.2275,Helsinki Vantaa Airport,AY768,Vienna International Airport,1487882700,1487873700,A319
OH-LVD,Finnair (Oneworld Livery),329.979166666667,330.710833333334,Vienna International Airport,AY767,Helsinki Vantaa Airport,1487871000,1487862000,A319
OH-LVD,Finnair (Oneworld Livery),331.723055555556,332.910833333334,Helsinki Vantaa Airport,AY812,Brussels Airport,1487855700,1487846400,A319
OH-LVD,Finnair (Oneworld Livery),333.871388888889,335.010833333334,Brussels Airport,AY811,Helsinki Vantaa Airport,1487837700,1487828100,A319
OH-LVD,Finnair (Oneworld Livery),352.255833333334,355.344166666667,London Heathrow Airport,AY833,Helsinki Vantaa Airport,1488042600,1488031200,A319
